Item Code,Product,UPC,Bill Units,Scan Units,Est. Units On Hand,Est. Sell Thru % (Units),Bill $,Sales
357090,ALPO SNAPS VARIETY PK DOG TRTS,1113200392, 240 , 237 , 3 ,99%,$638 ,$631 
336347,ALPO PRIME CUTS W/ BEEF,1113212556, 86 , 84 , 2 ,98%,$412 ,$400 
59442,ALPO CHOPHOUSE T-BNE STK GRAVY,1113213597, 468 , 490 ,(22),105%,$365 ,$382 
164820,ALPO PRIME CUTS,1113214544, 64 , 63 , 1 ,98%,$511 ,$504 
298380,ONE CAT HAIRBALL FORMULA,1780001260, 44 , 45 ,(1),102%,$505 ,$517 
324374,ONE PRPSFL NTRTN HAIRBALL FRML,1780001262, 16 , 15 , 1 ,94%,$368 ,$345 
357071,ONE CAT HAIRBALL FORMULA,1780001263, 36 , 37 ,(1),103%,$282 ,$291 
972604,ONE CAT URINARY TRACT HEALTH,1780001278, 7 , 8 ,(1),114%,$161 ,$184 
357088,ONE CAT SENIOR FORUMLA,1780001885, 48 , 53 ,(5),110%,$376 ,$416 
47449,WSKR LCKN CRNCH LVRS CKN/SEAFD,1780002063, 168 , 167 , 1 ,99%,$408 ,$406 
86159,ONE CAT SENSITIVE SYSTEMS,1780003198, 76 , 77 ,(1),101%,$872 ,$886 
101134,ONE CAT HAIRBALL & WT FORMULA,1780003386, 124 , 125 ,(1),101%,"$1,424 ","$1,438 "
428349,BENEFUL HEALTY PPY 4X3.5,1780010163, 52 , 53 ,(1),102%,$288 ,$294 
142851,BENEFUL PM SIMMERD BEEF ENTREE,1780010963, 232 , 233 ,(1),100%,$387 ,$389 
142850,BENEFUL PM SIMMERD CHKN MEDLEY,1780010964, 152 , 159 ,(7),105%,$254 ,$266 
142853,BENEFUL PM BEEF STEW,1780010965, 248 , 250 ,(2),101%,$414 ,$418 
142848,BENEFUL PM RICE & LAMB STEW,1780010967, 192 , 196 ,(4),102%,$321 ,$327 
743873,PPY CHOW LIT BITES 4X4,1780011030, 44 , 42 , 2 ,95%,$200 ,$191 
804084,CAT CHOW NATURALS,1780011322, 140 , 143 ,(3),102%,$767 ,$782 
170603,ONE WHOLESME BEEF & BRWN RICE,1780012592, 156 , 163 ,(7),104%,$228 ,$238 
170581,ONE WHOLESME CHKN & BRWN RICE,1780012596, 156 , 164 ,(8),105%,$228 ,$240 
170582,PUR ONE SB PUP LAMB RICE,1780012599, 60 , 62 ,(2),103%,$88 ,$91 
170584,PUR ONE SB ADULT TURKEY BARLEY,1780012604, 276 , 284 ,(8),103%,$403 ,$415 
47914,BENEFUL PM CHICKEN STEW,1780012861, 208 , 206 , 2 ,99%,$347 ,$345 
133990,KIT N KABOODLE,1780013043, 98 , 92 , 6 ,94%,$978 ,$918 
755143,BENEFUL HEALTHY WEIGHT 4X3.5,1780013465, 108 , 109 ,(1),101%,$598 ,$605 
535931,BENEFUL ORIG BF 4X3.5,1780013483, 136 , 132 , 4 ,97%,$753 ,$732 
653978,BENEFUL INC BF 4X3.5,1780013640, 188 , 179 , 9 ,95%,"$1,042 ",$992 
871664,ONE WET DOG BEEF & GRAVY,1780014309, 480 , 488 ,(8),102%,$701 ,$714 
18220,PUR ONE SB HEALTHY WEIGHT LAMB,1780014311, 360 , 370 ,(10),103%,$526 ,$541 
18112,ONE WET DOG CHICKEN & GRAVY,1780014314, 420 , 423 ,(3),101%,$613 ,$619 
176001,CAT CHOW NATURALS,1780014500, 59 , 58 , 1 ,98%,$884 ,$870 
67433,PURINA ONE CAT BEEF PATE,1780014595, 216 , 194 , 22 ,90%,$190 ,$171 
68059,PURINA ONE CAT CHICKEN PATE,1780014597, 240 , 263 ,(23),110%,$211 ,$232 
69529,PURINA ONE CAT CHICKEN CUTS,1780014602, 288 , 314 ,(26),109%,$253 ,$276 
236946,PURINA ONE OCEAN WHTFSH PATE,1780014604, 264 , 262 , 2 ,99%,$232 ,$231 
236943,PURINA ONE SVRY TRKY BRSD GRVY,1780014607, 144 , 172 ,(28),119%,$127 ,$151 
69645,PURINA ONE TUNA CUTS,1780014609, 240 , 263 ,(23),110%,$211 ,$232 
69232,PURINA ONE CAT TRKY/GBLTS PATE,1780014613, 240 , 239 , 1 ,100%,$211 ,$210 
237137,DOG CHOW HEALTHY MORSELS,1780014905, 71 , 5 , 66 ,7%,$861 ,$60 
237218,DOG CHOW LITTLE BITES INDOOR,1780014909, 33 , 32 , 1 ,97%,$395 ,$383 
237071,PUPPY CHOW HEALTHY MORSELS,1780014911, 52 , 1 , 51 ,2%,$620 ,$12 
8146,ONE SMTBLND DOG HLTHY WGHT FRM,1780014920, 64 , 63 , 1 ,98%,"$1,399 ","$1,376 "
6647,ONE SMRTBLND SML BTS BF & RC,1780014929, 133 , 129 , 4 ,97%,"$2,906 ","$2,822 "
19472,ONE SMTBLD VIB MAT 7+ SNR DOG,1780014932, 52 , 52 , 0 ,100%,"$1,137 ","$1,140 "
4881,ONE SMTBLND DOG CHKN RC FRMLA,1780014937, 202 , 197 , 5 ,98%,"$4,415 ","$4,315 "
2371,ONE SMRTBLND DOG LMB RC FRMLA,1780014940, 127 , 126 , 1 ,99%,"$2,776 ","$2,762 "
356860,CAT CHOW COMPLETE 4X6.3LB,1780015012, 92 , 93 ,(1),101%,$826 ,$830 
787569,CAT CHOW COMPLETE,1780015014, 84 , 88 ,(4),105%,$460 ,$482 
356861,CAT CHOW INDOOR 4X6.3,1780015016, 104 , 112 ,(8),108%,$934 ,"$1,011 "
489053,CAT CHOW INDOOR,1780015018, 112 , 112 , 0 ,100%,$614 ,$616 
583212,KITTEN CHOW,1780015020, 104 , 103 , 1 ,99%,$570 ,$562 
78391,ONE SMARTBLEND SALMON RECIPE,1780015123, 168 , 167 , 1 ,99%,$148 ,$147 
238490,DOG CHOW COMPLETE,1780015210, 152 , 150 , 2 ,99%,"$1,818 ","$1,795 "
184609,PURINA ONE TR INSTINCT TUR VEN,1780015452, 160 , 156 , 4 ,98%,"$3,497 ","$3,416 "
381385,ONE TRUE INSTNCT TURKY VENISON,1780015456, 184 , 174 , 10 ,95%,"$2,340 ","$2,207 "
53945,BENEFUL CHOPPED BLNDS CHICKEN,1780015496, 184 , 186 ,(2),101%,$307 ,$311 
193995,BENEFUL CHOPPED LAMB 10OZ,1780015498, 160 , 160 , 0 ,100%,$267 ,$267 
176553,BENEFUL MEDLEY SAMPLER,1780015512, 118 , 114 , 4 ,97%,$925 ,$901 
354943,BENEFUL MEDLEYS,1780015513, 46 , 44 , 2 ,96%,$776 ,$743 
112700,ONE PAIRING CHICKEN TURKEY,1780015829, 96 , 101 ,(5),105%,$84 ,$89 
90911,ONE PAIRINGS SALMON & TROUT,1780015831, 168 , 164 , 4 ,98%,$148 ,$144 
200293,BENEFUL CHPD BLENDS BEEF,1780015947, 160 , 154 , 6 ,96%,$314 ,$302 
199946,BENEFUL CHPD BLENDS CHICKEN,1780015949, 208 , 203 , 5 ,98%,$408 ,$398 
357055,BEYOND CAT FD SALMON BRWN RICE,1780016362, 76 , 79 ,(3),104%,$682 ,$709 
357041,BEYOND IN GRAVY CHKN BF,1780016381, 108 , 128 ,(20),119%,$123 ,$146 
357054,BEYOND CAT FD WHTISH & EGG,1780016385, 40 , 39 , 1 ,98%,$410 ,$398 
90866,BEYOND PATE TROUT AND CATFISH,1780016389, 84 , 78 , 6 ,93%,$96 ,$89 
357062,BEYOND PATE GRN FR SLMN,1780016403, 216 , 217 ,(1),100%,$246 ,$247 
357060,BEYOND IN GRCY TRKY SPIN,1780016407, 144 , 144 , 0 ,100%,$164 ,$164 
5815,BENEFUL BAKED DELIGHTS HUGS,1780016540, 96 , 96 , 0 ,100%,$256 ,$256 
5855,BENEFUL BAKED DELIGHT SNACKERS,1780016542, 230 , 225 , 5 ,98%,$614 ,$601 
