Item Code,Product,UPC,Bill Units,Scan Units,Est. Units On Hand,Est. Sell Thru % (Units),Bill $,Sales
357090,ALPO SNAPS VARIETY PK DOG TRTS,1113200392, 4 , 10 ,(6),250%,$11 ,$27 
336347,ALPO PRIME CUTS W/ BEEF,1113212556, 6 , 6 , 0 ,100%,$29 ,$27 
59442,ALPO CHOPHOUSE T-BNE STK GRAVY,1113213597, 36 , 12 , 24 ,33%,$28 ,$9 
164820,ALPO PRIME CUTS,1113214544, 3 , 4 ,(1),133%,$24 ,$32 
298380,ONE CAT HAIRBALL FORMULA,1780001260, 0 , 2 ,(2),N/A,$0 ,$23 
324374,ONE PRPSFL NTRTN HAIRBALL FRML,1780001262, 0 , 1 ,(1),N/A,$0 ,$23 
357071,ONE CAT HAIRBALL FORMULA,1780001263, 0 , 3 ,(3),N/A,$0 ,$24 
357088,ONE CAT SENIOR FORUMLA,1780001885, 4 , 1 , 3 ,25%,$31 ,$8 
47449,WSKR LCKN CRNCH LVRS CKN/SEAFD,1780002063, 14 , 6 , 8 ,43%,$34 ,$15 
86159,ONE CAT SENSITIVE SYSTEMS,1780003198, 4 , 3 , 1 ,75%,$46 ,$35 
101134,ONE CAT HAIRBALL & WT FORMULA,1780003386, 4 , 4 , 0 ,100%,$46 ,$46 
428349,BENEFUL HEALTY PPY 4X3.5,1780010163, 4 , 0 , 4 ,0%,$22 ,$0 
142851,BENEFUL PM SIMMERD BEEF ENTREE,1780010963, 8 , 10 ,(2),125%,$13 ,$17 
142850,BENEFUL PM SIMMERD CHKN MEDLEY,1780010964, 0 , 2 ,(2),N/A,$0 ,$3 
142853,BENEFUL PM BEEF STEW,1780010965, 8 , 12 ,(4),150%,$13 ,$20 
142848,BENEFUL PM RICE & LAMB STEW,1780010967, 0 , 10 ,(10),N/A,$0 ,$17 
743873,PPY CHOW LIT BITES 4X4,1780011030, 0 , 4 ,(4),N/A,$0 ,$18 
804084,CAT CHOW NATURALS,1780011322, 4 , 3 , 1 ,75%,$22 ,$16 
170603,ONE WHOLESME BEEF & BRWN RICE,1780012592, 12 , 16 ,(4),133%,$18 ,$23 
170581,ONE WHOLESME CHKN & BRWN RICE,1780012596, 12 , 14 ,(2),117%,$18 ,$20 
170582,PUR ONE SB PUP LAMB RICE,1780012599, 0 , 5 ,(5),N/A,$0 ,$7 
170584,PUR ONE SB ADULT TURKEY BARLEY,1780012604, 0 , 14 ,(14),N/A,$0 ,$20 
47914,BENEFUL PM CHICKEN STEW,1780012861, 0 , 7 ,(7),N/A,$0 ,$12 
133990,KIT N KABOODLE,1780013043, 6 , 7 ,(1),117%,$60 ,$70 
755143,BENEFUL HEALTHY WEIGHT 4X3.5,1780013465, 4 , 5 ,(1),125%,$22 ,$28 
535931,BENEFUL ORIG BF 4X3.5,1780013483, 4 , 5 ,(1),125%,$22 ,$28 
653978,BENEFUL INC BF 4X3.5,1780013640, 8 , 9 ,(1),113%,$44 ,$51 
871664,ONE WET DOG BEEF & GRAVY,1780014309, 0 , 13 ,(13),N/A,$0 ,$19 
18220,PUR ONE SB HEALTHY WEIGHT LAMB,1780014311, 0 , 12 ,(12),N/A,$0 ,$18 
18112,ONE WET DOG CHICKEN & GRAVY,1780014314, 0 , 9 ,(9),N/A,$0 ,$13 
176001,CAT CHOW NATURALS,1780014500, 2 , 2 , 0 ,100%,$30 ,$30 
67433,PURINA ONE CAT BEEF PATE,1780014595, 24 , 15 , 9 ,63%,$21 ,$13 
68059,PURINA ONE CAT CHICKEN PATE,1780014597, 0 , 14 ,(14),N/A,$0 ,$12 
69529,PURINA ONE CAT CHICKEN CUTS,1780014602, 0 , 6 ,(6),N/A,$0 ,$5 
236946,PURINA ONE OCEAN WHTFSH PATE,1780014604, 24 , 2 , 22 ,8%,$21 ,$2 
236943,PURINA ONE SVRY TRKY BRSD GRVY,1780014607, 0 , 2 ,(2),N/A,$0 ,$2 
69645,PURINA ONE TUNA CUTS,1780014609, 0 , 6 ,(6),N/A,$0 ,$5 
69232,PURINA ONE CAT TRKY/GBLTS PATE,1780014613, 24 , 18 , 6 ,75%,$21 ,$16 
237137,DOG CHOW HEALTHY MORSELS,1780014905, 2 , 0 , 2 ,0%,$24 ,$0 
237218,DOG CHOW LITTLE BITES INDOOR,1780014909, 0 , 1 ,(1),N/A,$0 ,$12 
237071,PUPPY CHOW HEALTHY MORSELS,1780014911, 1 , 0 , 1 ,0%,$12 ,$0 
8146,ONE SMTBLND DOG HLTHY WGHT FRM,1780014920, 2 , 1 , 1 ,50%,$44 ,$22 
6647,ONE SMRTBLND SML BTS BF & RC,1780014929, 4 , 3 , 1 ,75%,$87 ,$66 
19472,ONE SMTBLD VIB MAT 7+ SNR DOG,1780014932, 3 , 3 , 0 ,100%,$66 ,$66 
4881,ONE SMTBLND DOG CHKN RC FRMLA,1780014937, 14 , 10 , 4 ,71%,$306 ,$220 
2371,ONE SMRTBLND DOG LMB RC FRMLA,1780014940, 5 , 5 , 0 ,100%,$109 ,$109 
356860,CAT CHOW COMPLETE 4X6.3LB,1780015012, 0 , 2 ,(2),N/A,$0 ,$18 
787569,CAT CHOW COMPLETE,1780015014, 0 , 2 ,(2),N/A,$0 ,$11 
356861,CAT CHOW INDOOR 4X6.3,1780015016, 4 , 3 , 1 ,75%,$36 ,$27 
489053,CAT CHOW INDOOR,1780015018, 4 , 6 ,(2),150%,$22 ,$33 
583212,KITTEN CHOW,1780015020, 4 , 2 , 2 ,50%,$22 ,$11 
78391,ONE SMARTBLEND SALMON RECIPE,1780015123, 0 , 4 ,(4),N/A,$0 ,$4 
238490,DOG CHOW COMPLETE,1780015210, 6 , 6 , 0 ,100%,$72 ,$72 
184609,PURINA ONE TR INSTINCT TUR VEN,1780015452, 9 , 8 , 1 ,89%,$197 ,$175 
381385,ONE TRUE INSTNCT TURKY VENISON,1780015456, 12 , 11 , 1 ,92%,$148 ,$136 
53945,BENEFUL CHOPPED BLNDS CHICKEN,1780015496, 8 , 3 , 5 ,38%,$13 ,$5 
176553,BENEFUL MEDLEY SAMPLER,1780015512, 4 , 2 , 2 ,50%,$31 ,$16 
354943,BENEFUL MEDLEYS,1780015513, 2 , 3 ,(1),150%,$34 ,$51 
112700,ONE PAIRING CHICKEN TURKEY,1780015829, 0 , 11 ,(11),N/A,$0 ,$10 
90911,ONE PAIRINGS SALMON & TROUT,1780015831, 0 , 5 ,(5),N/A,$0 ,$4 
200293,BENEFUL CHPD BLENDS BEEF,1780015947, 8 , 6 , 2 ,75%,$16 ,$12 
199946,BENEFUL CHPD BLENDS CHICKEN,1780015949, 8 , 3 , 5 ,38%,$16 ,$6 
357055,BEYOND CAT FD SALMON BRWN RICE,1780016362, 4 , 6 ,(2),150%,$36 ,$54 
357041,BEYOND IN GRAVY CHKN BF,1780016381, 0 , 3 ,(3),N/A,$0 ,$3 
357054,BEYOND CAT FD WHTISH & EGG,1780016385, 0 , 1 ,(1),N/A,$0 ,$11 
90866,BEYOND PATE TROUT AND CATFISH,1780016389, 0 , 2 ,(2),N/A,$0 ,$2 
357062,BEYOND PATE GRN FR SLMN,1780016403, 12 , 3 , 9 ,25%,$14 ,$3 
357060,BEYOND IN GRCY TRKY SPIN,1780016407, 12 , 5 , 7 ,42%,$14 ,$6 
5815,BENEFUL BAKED DELIGHTS HUGS,1780016540, 8 , 12 ,(4),150%,$21 ,$32 
5855,BENEFUL BAKED DELIGHT SNACKERS,1780016542, 10 , 10 , 0 ,100%,$27 ,$27 
346295,ONE PUR SMRTBLND VARITY DOG FD,1780016715, 4 , 4 , 0 ,100%,$32 ,$32 
529241,PUR ONE DRY LAMB&RICE DOG FD,1780016746, 2 , 1 , 1 ,50%,$86 ,$43 
384082,BEYOND SIMPL ORGN CHKN PEA,1780016912, 0 , 5 ,(5),N/A,$0 ,$11 
176321,BENEFUL CHOPPED BLENDS CHICKEN,1780016960, 0 , 5 ,(5),N/A,$0 ,$8 
176307,BENEFUL CHOPPED BLENDS SALMON,1780016962, 0 , 2 ,(2),N/A,$0 ,$3 
176337,BENEFUL CHOPPED BLENDS TURKEY,1780016966, 0 , 4 ,(4),N/A,$0 ,$7 
172171,BEYOND GF BEEF AND POTATO,1780017025, 0 , 5 ,(5),N/A,$0 ,$10 
381242,BEYOND CHCKN CRRT PEA GRND ENT,1780017027, 0 , 6 ,(6),N/A,$0 ,$12 
676357,CAT CHOW NATURALS INDOOR,1780017156, 12 , 15 ,(3),125%,$66 ,$83 
573413,CAT CHOW NATURALS INDOOR,1780017162, 1 , 2 ,(1),200%,$15 ,$30 
384083,BEYOND GRNFR CHKN SWT POTATO,1780017186, 0 , 5 ,(5),N/A,$0 ,$10 
478541,BENEFUL INC CHK 4X3.5,1780017203, 0 , 2 ,(2),N/A,$0 ,$11 
205790,ONE TI GRAIN FREE CHICKEN,1780017251, 1 , 1 , 0 ,100%,$22 ,$22 
205650,WHISKER LICKIN CRUNCHY TUNA,1780017260, 10 , 4 , 6 ,40%,$9 ,$4 
516262,DENTALIFE DAILY LARGE 20.7OZ,1780017413, 0 , 3 ,(3),N/A,$0 ,$27 
313982,DENTALIFE SMALL/MEDIUM 25CT,1780017418, 4 , 4 , 0 ,100%,$36 ,$36 
992864,BEYOND SML DOG CHKN BRLY,1780017618, 4 , 1 , 3 ,25%,$38 ,$10 
684123,PUR ONE HEALTHY WGHT 40LB,1780017933, 1 , 1 , 0 ,100%,$43 ,$43 
670667,PUR ONE LARGE BREED ADULT,1780017934, 1 , 1 , 0 ,100%,$43 ,$43 
575328,CAT CHOW NATURALS GRN FR CHKN,1780017955, 0 , 4 ,(4),N/A,$0 ,$48 
549375,KITTEN CHOW NATURALS,1780018171, 0 , 2 ,(2),N/A,$0 ,$20 
