Fiscal Date,Item Code,Product,UPC,Bill Units,Scan Units,Est. Units On Hand,Est. Sell Thru % (Units),Bill $,Sales
1/31/2020,357090,ALPO SNAPS VARIETY PK DOG TRTS,1113200392, 0 , 2 ,(2),N/A,$0 ,$5 
1/31/2020,336347,ALPO PRIME CUTS W/ BEEF,1113212556, 0 , 2 ,(2),N/A,$0 ,$10 
1/31/2020,59442,ALPO CHOPHOUSE T-BNE STK GRAVY,1113213597, 12 , 0 , 12 ,0%,$9 ,$0 
1/31/2020,357071,ONE CAT HAIRBALL FORMULA,1780001263, 0 , 2 ,(2),N/A,$0 ,$16 
1/31/2020,357088,ONE CAT SENIOR FORUMLA,1780001885, 4 , 0 , 4 ,0%,$31 ,$0 
1/31/2020,47449,WSKR LCKN CRNCH LVRS CKN/SEAFD,1780002063, 0 , 1 ,(1),N/A,$0 ,$2 
1/31/2020,86159,ONE CAT SENSITIVE SYSTEMS,1780003198, 0 , 1 ,(1),N/A,$0 ,$11 
1/31/2020,142851,BENEFUL PM SIMMERD BEEF ENTREE,1780010963, 0 , 1 ,(1),N/A,$0 ,$2 
1/31/2020,142853,BENEFUL PM BEEF STEW,1780010965, 0 , 1 ,(1),N/A,$0 ,$2 
1/31/2020,142848,BENEFUL PM RICE & LAMB STEW,1780010967, 0 , 1 ,(1),N/A,$0 ,$2 
1/31/2020,743873,PPY CHOW LIT BITES 4X4,1780011030, 0 , 1 ,(1),N/A,$0 ,$5 
1/31/2020,170603,ONE WHOLESME BEEF & BRWN RICE,1780012592, 0 , 1 ,(1),N/A,$0 ,$1 
1/31/2020,170581,ONE WHOLESME CHKN & BRWN RICE,1780012596, 0 , 3 ,(3),N/A,$0 ,$4 
1/31/2020,170582,PUR ONE SB PUP LAMB RICE,1780012599, 0 , 5 ,(5),N/A,$0 ,$7 
1/31/2020,170584,PUR ONE SB ADULT TURKEY BARLEY,1780012604, 0 , 1 ,(1),N/A,$0 ,$1 
1/31/2020,755143,BENEFUL HEALTHY WEIGHT 4X3.5,1780013465, 4 , 0 , 4 ,0%,$22 ,$0 
1/31/2020,535931,BENEFUL ORIG BF 4X3.5,1780013483, 0 , 1 ,(1),N/A,$0 ,$6 
1/31/2020,653978,BENEFUL INC BF 4X3.5,1780013640, 4 , 2 , 2 ,50%,$22 ,$11 
1/31/2020,871664,ONE WET DOG BEEF & GRAVY,1780014309, 0 , 1 ,(1),N/A,$0 ,$1 
1/31/2020,18220,PUR ONE SB HEALTHY WEIGHT LAMB,1780014311, 0 , 1 ,(1),N/A,$0 ,$1 
1/31/2020,18112,ONE WET DOG CHICKEN & GRAVY,1780014314, 0 , 1 ,(1),N/A,$0 ,$1 
1/31/2020,67433,PURINA ONE CAT BEEF PATE,1780014595, 0 , 3 ,(3),N/A,$0 ,$3 
1/31/2020,68059,PURINA ONE CAT CHICKEN PATE,1780014597, 0 , 6 ,(6),N/A,$0 ,$5 
1/31/2020,69529,PURINA ONE CAT CHICKEN CUTS,1780014602, 0 , 1 ,(1),N/A,$0 ,$1 
1/31/2020,69232,PURINA ONE CAT TRKY/GBLTS PATE,1780014613, 0 , 9 ,(9),N/A,$0 ,$8 
1/31/2020,6647,ONE SMRTBLND SML BTS BF & RC,1780014929, 3 , 0 , 3 ,0%,$66 ,$0 
1/31/2020,4881,ONE SMTBLND DOG CHKN RC FRMLA,1780014937, 4 , 2 , 2 ,50%,$87 ,$44 
1/31/2020,2371,ONE SMRTBLND DOG LMB RC FRMLA,1780014940, 1 , 0 , 1 ,0%,$22 ,$0 
1/31/2020,356860,CAT CHOW COMPLETE 4X6.3LB,1780015012, 0 , 1 ,(1),N/A,$0 ,$9 
1/31/2020,78391,ONE SMARTBLEND SALMON RECIPE,1780015123, 0 , 1 ,(1),N/A,$0 ,$1 
1/31/2020,238490,DOG CHOW COMPLETE,1780015210, 2 , 0 , 2 ,0%,$24 ,$0 
1/31/2020,184609,PURINA ONE TR INSTINCT TUR VEN,1780015452, 3 , 1 , 2 ,33%,$66 ,$22 
1/31/2020,381385,ONE TRUE INSTNCT TURKY VENISON,1780015456, 4 , 2 , 2 ,50%,$49 ,$25 
